Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,70.270,74.074,3.804,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,139.606,141.141,1.535,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,152.386,155.889,3.503,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,177.144,178.212,1.068,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,184.551,185.219,0.668,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,242.276,244.178,1.902,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,295.028,297.030,2.002,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,302.269,303.337,1.068,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,322.055,323.190,1.135,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,328.328,330.364,2.036,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,unsupported,STATE,378.412,379.947,1.535,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,392.893,395.729,2.836,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,476.043,477.344,1.301,,
0620 OFT 3min epochs_1 - Zahra,2021-10-22 22:20:26,,C:/Aaallmine/jobs/VGL/boris/oft_videos/0620 OFT 3min epochs_1.mpg,1637.590,29.97,mouse,Rear,,supported,STATE,519.253,520.554,1.301,,
