Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,0.033,1.468,1.435,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,20.521,21.889,1.368,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,31.532,32.699,1.167,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,34.568,36.069,1.501,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,46.847,47.848,1.001,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,52.719,53.820,1.101,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,65.465,66.099,0.634,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,74.408,76.109,1.701,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,496.363,497.531,1.168,,
CSIVideo_2019_11_22_17_7_25 - Zahra,2021-10-29 21:31:01,,C:/Aaallmine/jobs/VGL/boris/oft_videos/CSIVideo_2019_11_22_17_7_25.STM,2010.050,29.97,mouse,Rear,,supported,STATE,504.805,507.464,2.659,,
