Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,111.945,113.614,1.669,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,121.421,122.723,1.302,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,124.124,125.158,1.034,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,134.668,136.603,1.935,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,191.024,192.626,1.602,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,212.246,213.247,1.001,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,214.615,216.049,1.434,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,228.262,229.530,1.268,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,276.076,277.077,1.001,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,300.501,302.269,1.768,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,307.674,308.775,1.101,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,312.312,313.347,1.035,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,477.778,479.913,2.135,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,495.596,496.897,1.301,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,506.373,509.309,2.936,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,515.449,517.518,2.069,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,527.327,528.562,1.235,,
ZIMLR vGAT OFT1219_7 - Zahra,2021-11-27 14:42:14,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT1219_7.mpg,2010.060,29.97,mouse,Rear,,supported,STATE,528.996,531.198,2.202,,
