Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,15.048,16.717,1.669,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,56.757,57.691,0.934,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,123.924,125.158,1.234,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,131.765,132.900,1.135,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,139.640,140.741,1.101,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,142.309,143.710,1.401,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,151.852,152.953,1.101,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,155.289,157.157,1.868,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,158.959,160.194,1.235,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,164.831,166.033,1.202,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,175.175,176.210,1.035,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,185.018,186.787,1.769,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,193.560,195.495,1.935,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,215.415,216.617,1.202,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,256.557,257.291,0.734,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,283.917,285.185,1.268,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,291.091,292.326,1.235,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,308.308,309.343,1.035,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,318.018,319.253,1.235,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,unsupported,STATE,328.362,330.497,2.135,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,337.371,339.339,1.968,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,343.377,344.211,0.834,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,370.237,371.371,1.134,,
ZIMLR vGAT OFT_5 - Zahra,2021-11-27 11:34:09,,C:/Aaallmine/jobs/VGL/boris/oft_videos/ZIMLR vGAT OFT_5.mpg,1983.430,29.97,mouse,Rear,,supported,STATE,381.281,382.416,1.135,,
